list_name,fetched_at_ts,endpoint,kitsu_id,position,list_rank,trend_rank
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,40005,57,10219.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,35886,58,165.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,18471,59,113.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,26776,60,100.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,14180,61,2684.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,39752,62,515.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,37781,63,1569.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,40927,64,718.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,51379,65,743.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,37605,66,477.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,35883,67,207.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,54690,68,823.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,23,69,106.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,36487,70,596.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,35736,71,216.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,37173,72,1331.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,21550,73,128.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,56355,74,35.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,2704,75,107.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,26233,76,1514.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,59289,77,110.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,40657,78,588.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,58313,79,48.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,54238,80,609.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,54156,81,1273.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,1484,82,86.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,17631,83,663.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,38865,84,141.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,37711,85,6031.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,26623,86,11238.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,35985,87,4166.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,32875,88,581.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,40299,89,11688.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,58485,90,369.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,2299,91,203.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,56296,92,91.0,
